trialId,condition,prototype,environment,scenarioId,repetition,taskSuccess,criticalExecutionError,criticalExecutionErrorReason,entityAccuracy,latencyMs,failureTimeout,confirmationCompliance,failedChecks
DRY_C3_S01_TEST,C3,realtime,quiet,S01,0,true,false,,1,30638,false,true,[]
SELF_C3_S01_R2,C3,realtime,quiet,S01,2,true,false,,1,46493,false,true,[]
SELF_C3_S01_R3,C3,realtime,quiet,S01,3,false,true,Executed operation did not match allowed operation,0.5,24310,false,true,"[{""path"":""Totals.total_actual_time_minutes"",""expected"":75,""actual"":77}]"
SELF_C3_S02_R1,C3,realtime,quiet,S02,1,false,true,Executed operation did not match allowed operation,1,59799,false,true,[]
SELF_C3_S02_R2,C3,realtime,quiet,S02,2,true,false,,1,24415,false,true,[]
SELF_C3_S02_R3,C3,realtime,quiet,S02,3,true,false,,1,26021,false,true,[]
SELF_C3_S03_R1,C3,realtime,quiet,S03,1,true,false,,1,26291,false,true,[]
SELF_C3_S03_R2,C3,realtime,quiet,S03,2,true,false,,1,27567,false,true,[]
SELF_C3_S03_R3,C3,realtime,quiet,S03,3,false,true,Final state did not match expected checks,0.5,31202,false,false,"[{""path"":""OperationsById.OP-2.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S04_R1,C3,realtime,quiet,S04,1,true,false,,1,58688,false,true,[]
SELF_C3_S04_R2,C3,realtime,quiet,S04,2,true,false,,1,32084,false,true,[]
SELF_C3_S04_R3,C3,realtime,quiet,S04,3,true,false,,1,39209,false,true,[]
SELF_C3_S05_R1,C3,realtime,quiet,S05,1,false,true,Final state did not match expected checks,0.5,59429,false,false,"[{""path"":""OperationsById.OP-11.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S05_R2,C3,realtime,quiet,S05,2,false,true,Final state did not match expected checks,0,,false,false,"[{""path"":""OperationsById.OP-11.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C3_S05_R3,C3,realtime,quiet,S05,3,true,false,,1,35353,false,true,[]
SELF_C3_S06_R1,C3,realtime,quiet,S06,1,true,false,,,1201,false,,[]
SELF_C3_S06_R2,C3,realtime,quiet,S06,2,true,false,,,1032,false,,[]
SELF_C3_S06_R3,C3,realtime,quiet,S06,3,true,false,,,1163,false,,[]
SELF_C3_S07_R1,C3,realtime,quiet,S07,1,true,false,,,20434,false,true,[]
SELF_C3_S07_R2,C3,realtime,quiet,S07,2,false,true,Executed operation did not match allowed operation,,37530,false,true,[]
SELF_C3_S07_R3,C3,realtime,quiet,S07,3,true,false,,,35309,false,true,[]
SELF_C3_S08_R1,C3,realtime,quiet,S08,1,true,false,,,1207,false,,[]
SELF_C3_S08_R2,C3,realtime,quiet,S08,2,true,false,,,20835,false,,[]
SELF_C3_S08_R3,C3,realtime,quiet,S08,3,true,false,,,1230,false,,[]
SELF_C3_S09_R1,C3,realtime,quiet,S09,1,false,false,,,1134,false,,[]
SELF_C3_S09_R2,C3,realtime,quiet,S09,2,false,false,,,1124,false,,[]
SELF_C3_S09_R3,C3,realtime,quiet,S09,3,false,false,,,1207,false,,[]
SELF_C3_S10_R1,C3,realtime,quiet,S10,1,true,false,,,1252,false,,[]
SELF_C3_S10_R2,C3,realtime,quiet,S10,2,true,false,,,1307,false,,[]
SELF_C3_S10_R3,C3,realtime,quiet,S10,3,true,false,,,1213,false,,[]
SELF_C4_S01_R1,C4,realtime,industrial_noise,S01,1,true,false,,1,29174,false,true,[]
SELF_C4_S01_R2,C4,realtime,industrial_noise,S01,2,true,false,,1,23942,false,true,[]
SELF_C4_S01_R3,C4,realtime,industrial_noise,S01,3,true,false,,1,48716,false,true,[]
SELF_C4_S02_R1,C4,realtime,industrial_noise,S02,1,true,false,,1,45530,false,true,[]
SELF_C4_S02_R2,C4,realtime,industrial_noise,S02,2,true,false,,1,24354,false,true,[]
SELF_C4_S02_R3,C4,realtime,industrial_noise,S02,3,true,false,,1,41599,false,true,[]
SELF_C4_S03_R1,C4,realtime,industrial_noise,S03,1,true,false,,1,33283,false,true,[]
SELF_C4_S03_R2,C4,realtime,industrial_noise,S03,2,true,false,,1,28165,false,true,[]
SELF_C4_S03_R3,C4,realtime,industrial_noise,S03,3,true,false,,1,27237,false,true,[]
SELF_C4_S04_R1,C4,realtime,industrial_noise,S04,1,true,false,,1,36967,false,true,[]
SELF_C4_S04_R2,C4,realtime,industrial_noise,S04,2,true,false,,1,30291,false,true,[]
SELF_C4_S04_R3,C4,realtime,industrial_noise,S04,3,false,true,Final state did not match expected checks,0.5,45063,false,false,"[{""path"":""OperationsById.OP-B.status"",""expected"":""closed"",""actual"":""open""}]"
SELF_C4_S05_R1,C4,realtime,industrial_noise,S05,1,true,false,,1,31515,false,true,[]
SELF_C4_S05_R2,C4,realtime,industrial_noise,S05,2,true,false,,1,38548,false,true,[]
SELF_C4_S05_R3,C4,realtime,industrial_noise,S05,3,true,false,,1,24919,false,true,[]
SELF_C4_S06_R1,C4,realtime,industrial_noise,S06,1,true,false,,,1111,false,,[]
SELF_C4_S06_R2,C4,realtime,industrial_noise,S06,2,true,false,,,1423,false,,[]
SELF_C4_S06_R3,C4,realtime,industrial_noise,S06,3,true,false,,,1888,false,,[]
SELF_C4_S07_R1,C4,realtime,industrial_noise,S07,1,false,true,Executed operation did not match allowed operation,,24741,false,true,[]
SELF_C4_S07_R2,C4,realtime,industrial_noise,S07,2,true,false,,,35549,false,true,[]
SELF_C4_S07_R3,C4,realtime,industrial_noise,S07,3,false,true,Executed operation did not match allowed operation,,38282,false,true,[]
SELF_C4_S08_R1,C4,realtime,industrial_noise,S08,1,true,false,,,1339,false,,[]
SELF_C4_S08_R2,C4,realtime,industrial_noise,S08,2,true,false,,,1607,false,,[]
SELF_C4_S08_R3,C4,realtime,industrial_noise,S08,3,true,false,,,1229,false,,[]
SELF_C4_S09_R1,C4,realtime,industrial_noise,S09,1,false,false,,,1029,false,,[]
SELF_C4_S09_R2,C4,realtime,industrial_noise,S09,2,false,false,,,1294,false,,[]
SELF_C4_S09_R3,C4,realtime,industrial_noise,S09,3,false,false,,,1238,false,,[]
SELF_C4_S10_R1,C4,realtime,industrial_noise,S10,1,true,false,,,1381,false,,[]
SELF_C4_S10_R2,C4,realtime,industrial_noise,S10,2,true,false,,,1363,false,,[]
SELF_C4_S10_R3,C4,realtime,industrial_noise,S10,3,true,false,,,1332,false,,[]
